t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.218999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,9.722413417986906836e+01,-4.722413417986906836e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.209000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,9.765036887596667725e+01,-4.765036887596667725e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.206000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,9.777823928479597271e+01,-4.777823928479597271e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.209000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,9.765036887596667725e+01,-4.765036887596667725e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.209000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,9.765036887596667725e+01,-4.765036887596667725e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,9.735200458869836382e+01,-4.735200458869836382e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.218999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,9.722413417986906836e+01,-4.722413417986906836e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.225000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
