t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.160999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,9.969629541723531929e+01,-4.969629541723531929e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.157999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,9.982416582606460054e+01,-4.982416582606460054e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.145000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.003782709309915049e+02,-5.037827093099150488e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.147999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.002504005221622378e+02,-5.025040052216223785e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.147999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.002504005221622378e+02,-5.025040052216223785e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.142000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.005061413398208003e+02,-5.050614133982080034e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.121999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.013586107320160608e+02,-5.135861073201606075e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.118999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.014864811408453562e+02,-5.148648114084535621e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.118999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.014864811408453562e+02,-5.148648114084535621e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.118999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.014864811408453562e+02,-5.148648114084535621e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.132000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.009323760359184377e+02,-5.093237603591843765e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.125999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.011881168535770144e+02,-5.118811685357701435e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.118999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,1.014864811408453562e+02,-5.148648114084535621e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.125999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,1.011881168535770144e+02,-5.118811685357701435e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.145000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,1.003782709309915049e+02,-5.037827093099150488e+01,0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,1.001225301133329424e+02,-5.012253011333294239e+01,-0.000000000000000000e+00,7.500000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
