t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.539506319349670775e+02,-2.039506319349670775e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.541999999999999993e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.539506319349670775e+02,-2.039506319349670775e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.541999999999999993e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.539506319349670775e+02,-2.039506319349670775e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.541999999999999993e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.539506319349670775e+02,-2.039506319349670775e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.541999999999999993e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.539506319349670775e+02,-2.039506319349670775e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.548000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,2.536948911173084866e+02,-2.036948911173084866e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.571000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.527145513162839450e+02,-2.027145513162839450e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.574000000000000021e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,2.525866809074546495e+02,-2.025866809074546495e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.574000000000000021e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,2.525866809074546495e+02,-2.025866809074546495e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.593999999999999950e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,2.517342115152594033e+02,-2.017342115152594033e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.605999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,2.512227298799422499e+02,-2.012227298799422499e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.628999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,2.502423900789177083e+02,-2.002423900789177083e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,2.498161553828200852e+02,-1.998161553828200852e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.657999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,2.490063094602345757e+02,-1.990063094602345757e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.671000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,2.484522043553076571e+02,-1.984522043553076571e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.703000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,2.470882533277952575e+02,-1.970882533277952575e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.703000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,2.470882533277952575e+02,-1.970882533277952575e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.735000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,2.457243023002828295e+02,-1.957243023002828295e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.751000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,2.450423267865266155e+02,-1.950423267865266155e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,2.443177278031606647e+02,-1.943177278031606647e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,2.429537767756482651e+02,-1.929537767756482651e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.812999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,2.423996716707213466e+02,-1.923996716707213466e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.837999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,2.413340849304772746e+02,-1.913340849304772746e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.864000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,2.402258747206234375e+02,-1.902258747206234375e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.887000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,2.392455349195988674e+02,-1.892455349195988674e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,2.388619236931110095e+02,-1.888619236931110095e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.925000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,2.376258430744279053e+02,-1.876258430744279053e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.932000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,2.373274787871595493e+02,-1.873274787871595493e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.960999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,2.360913981684764451e+02,-1.860913981684764451e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.992999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,2.347274471409640171e+02,-1.847274471409640171e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.016000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,2.337471073399395038e+02,-1.837471073399395038e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.032000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
