t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.512227298799422499e+02,-2.012227298799422499e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.612999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.509243655926739223e+02,-2.009243655926739223e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.628999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.502423900789177083e+02,-2.002423900789177083e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.626000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.503702604877469753e+02,-2.003702604877469753e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.498161553828200852e+02,-1.998161553828200852e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,2.498161553828200852e+02,-1.998161553828200852e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.498161553828200852e+02,-1.998161553828200852e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.642000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,2.496882849739907897e+02,-1.996882849739907897e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.664000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,2.487505686425760132e+02,-1.987505686425760132e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.671000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,2.484522043553076571e+02,-1.984522043553076571e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.673999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,2.483243339464783901e+02,-1.983243339464783901e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.703000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,2.470882533277952575e+02,-1.970882533277952575e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.705999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,2.469603829189659621e+02,-1.969603829189659621e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.735000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,2.457243023002828295e+02,-1.957243023002828295e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.739000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,2.455538084218437973e+02,-1.955538084218437973e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,2.443177278031606647e+02,-1.943177278031606647e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.771000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,2.441898573943313693e+02,-1.941898573943313693e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,2.429537767756482651e+02,-1.929537767756482651e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.812999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,2.423996716707213466e+02,-1.923996716707213466e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.835000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,2.414619553393065416e+02,-1.914619553393065416e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.857999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,2.404816155382820284e+02,-1.904816155382820284e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.864000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,2.402258747206234375e+02,-1.902258747206234375e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,2.388619236931110095e+02,-1.888619236931110095e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.912999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,2.381373247097450587e+02,-1.881373247097450587e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.928999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,2.374553491959888447e+02,-1.874553491959888447e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.960999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,2.360913981684764451e+02,-1.860913981684764451e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.967000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,2.358356573508178542e+02,-1.858356573508178542e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.992999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,2.347274471409640171e+02,-1.847274471409640171e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.005999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,2.341733420360370985e+02,-1.841733420360370985e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.028999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,2.331930022350125569e+02,-1.831930022350125569e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.057999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,2.319569216163294527e+02,-1.819569216163294527e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.060999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,2.318290512075001573e+02,-1.818290512075001573e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.089999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,2.305929705888170247e+02,-1.805929705888170247e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.119000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,2.293568899701339205e+02,-1.793568899701339205e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.125000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,2.291011491524753296e+02,-1.791011491524753296e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.153999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,2.278650685337921971e+02,-1.778650685337921971e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.176999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,2.268847287327676838e+02,-1.768847287327676838e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.189999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,2.263306236278407368e+02,-1.763306236278407368e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,2.250945430091576327e+02,-1.750945430091576327e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.235000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,2.244125674954014187e+02,-1.744125674954014187e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,2.237305919816451762e+02,-1.737305919816451762e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.280000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,2.224945113629621005e+02,-1.724945113629621005e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.292999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,2.219404062580351820e+02,-1.719404062580351820e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,5.000000000000000000e+01,2.210026899266204055e+02,-1.710026899266204055e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,5.000000000000000000e+01,2.195961154294981839e+02,-1.695961154294981839e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.351000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,5.000000000000000000e+01,2.194682450206688884e+02,-1.694682450206688884e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.380000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,5.000000000000000000e+01,2.182321644019858127e+02,-1.682321644019858127e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.405999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,5.000000000000000000e+01,2.171239541921319471e+02,-1.671239541921319471e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,5.000000000000000000e+01,2.168682133744733846e+02,-1.668682133744733846e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.444000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,5.000000000000000000e+01,2.155042623469609850e+02,-1.655042623469609850e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.444000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,5.000000000000000000e+01,2.155042623469609850e+02,-1.655042623469609850e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.476999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,5.000000000000000000e+01,2.140976878498388203e+02,-1.640976878498388203e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.498999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,5.000000000000000000e+01,2.131599715184240438e+02,-1.631599715184240438e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,5.000000000000000000e+01,2.127337368223263923e+02,-1.627337368223263923e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,5.000000000000000000e+01,2.113697857948139927e+02,-1.613697857948139927e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.557000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,5.000000000000000000e+01,2.106878102810577786e+02,-1.606878102810577786e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.573000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,5.000000000000000000e+01,2.100058347673015646e+02,-1.600058347673015646e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,5.000000000000000000e+01,2.086418837397891650e+02,-1.586418837397891650e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,5.000000000000000000e+01,2.086418837397891650e+02,-1.586418837397891650e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,5.000000000000000000e+01,2.072353092426670003e+02,-1.572353092426670003e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.653999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,5.000000000000000000e+01,2.065533337289107862e+02,-1.565533337289107862e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,5.000000000000000000e+01,2.058713582151545722e+02,-1.558713582151545722e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.698999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,5.000000000000000000e+01,2.046352775964714681e+02,-1.546352775964714681e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.712000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,5.000000000000000000e+01,2.040811724915445211e+02,-1.540811724915445211e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.400000000000000000e+01,5.000000000000000000e+01,2.031434561601297446e+02,-1.531434561601297446e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.750000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,5.000000000000000000e+01,2.024614806463735590e+02,-1.524614806463735590e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.600000000000000000e+01,5.000000000000000000e+01,2.017368816630075798e+02,-1.517368816630075798e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.700000000000000000e+01,5.000000000000000000e+01,2.003729306354951802e+02,-1.503729306354951802e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.801999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.800000000000000000e+01,5.000000000000000000e+01,2.002450602266658848e+02,-1.502450602266658848e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.660000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.900000000000000000e+01,5.000000000000000000e+01,2.062975929112521953e+02,-1.562975929112521953e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.841000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+01,5.000000000000000000e+01,1.985827449118851291e+02,-1.485827449118851291e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.100000000000000000e+01,5.000000000000000000e+01,1.976450285804703526e+02,-1.476450285804703526e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.892000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,5.000000000000000000e+01,1.964089479617872200e+02,-1.464089479617872200e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.300000000000000000e+01,5.000000000000000000e+01,1.962384540833481594e+02,-1.462384540833481594e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.400000000000000000e+01,5.000000000000000000e+01,1.948745030558357598e+02,-1.448745030558357598e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.933999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.500000000000000000e+01,5.000000000000000000e+01,1.946187622381771689e+02,-1.446187622381771689e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.953999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.600000000000000000e+01,5.000000000000000000e+01,1.937662928459819227e+02,-1.437662928459819227e+02,-0.000000000000000000e+00,7.500000000000000000e+01,2.973000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.700000000000000000e+01,5.000000000000000000e+01,1.929564469233964132e+02,-1.429564469233964132e+02,0.000000000000000000e+00,7.500000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.800000000000000000e+01,5.000000000000000000e+01,1.921466010008109322e+02,-1.421466010008109322e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.007999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.900000000000000000e+01,5.000000000000000000e+01,1.914646254870547466e+02,-1.414646254870547466e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.023999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+01,5.000000000000000000e+01,1.907826499732985326e+02,-1.407826499732985326e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.046999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.100000000000000000e+01,5.000000000000000000e+01,1.898023101722739909e+02,-1.398023101722739909e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.200000000000000000e+01,5.000000000000000000e+01,1.893760754761763394e+02,-1.393760754761763394e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.078999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.300000000000000000e+01,5.000000000000000000e+01,1.884383591447615629e+02,-1.384383591447615629e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.089000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.400000000000000000e+01,5.000000000000000000e+01,1.880121244486639398e+02,-1.380121244486639398e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.500000000000000000e+01,5.000000000000000000e+01,1.866481734211515118e+02,-1.366481734211515118e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.600000000000000000e+01,5.000000000000000000e+01,1.866481734211515118e+02,-1.366481734211515118e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.139999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.700000000000000000e+01,5.000000000000000000e+01,1.858383274985660307e+02,-1.358383274985660307e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.153000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.800000000000000000e+01,5.000000000000000000e+01,1.852842223936391122e+02,-1.352842223936391122e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.173000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.900000000000000000e+01,5.000000000000000000e+01,1.844317530014438375e+02,-1.344317530014438375e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+01,5.000000000000000000e+01,1.838776478965169474e+02,-1.338776478965169474e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.198000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.100000000000000000e+01,5.000000000000000000e+01,1.833661662611997656e+02,-1.333661662611997656e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.217999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.200000000000000000e+01,5.000000000000000000e+01,1.825136968690045194e+02,-1.325136968690045194e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.231000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.300000000000000000e+01,5.000000000000000000e+01,1.819595917640776008e+02,-1.319595917640776008e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.400000000000000000e+01,5.000000000000000000e+01,1.811497458414921198e+02,-1.311497458414921198e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.256000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.500000000000000000e+01,5.000000000000000000e+01,1.808940050238335289e+02,-1.308940050238335289e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.282000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.600000000000000000e+01,5.000000000000000000e+01,1.797857948139797202e+02,-1.297857948139797202e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.285000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.700000000000000000e+01,5.000000000000000000e+01,1.796579244051504247e+02,-1.296579244051504247e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.314000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.800000000000000000e+01,5.000000000000000000e+01,1.784218437864672921e+02,-1.284218437864672921e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.317999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.900000000000000000e+01,5.000000000000000000e+01,1.782513499080282600e+02,-1.282513499080282600e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.339999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+02,5.000000000000000000e+01,1.773136335766134835e+02,-1.273136335766134835e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.346999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.010000000000000000e+02,5.000000000000000000e+01,1.770152692893451274e+02,-1.270152692893451274e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.353000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.020000000000000000e+02,5.000000000000000000e+01,1.767595284716865365e+02,-1.267595284716865365e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.378999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.030000000000000000e+02,5.000000000000000000e+01,1.756513182618327278e+02,-1.256513182618327278e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.382000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.040000000000000000e+02,5.000000000000000000e+01,1.755234478530034323e+02,-1.255234478530034323e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.410999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.050000000000000000e+02,5.000000000000000000e+01,1.742873672343202998e+02,-1.242873672343202998e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.410999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.060000000000000000e+02,5.000000000000000000e+01,1.742873672343202998e+02,-1.242873672343202998e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.442999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.070000000000000000e+02,5.000000000000000000e+01,1.729234162068079002e+02,-1.229234162068079002e+02,-0.000000000000000000e+00,7.500000000000000000e+01,3.442999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.080000000000000000e+02,5.000000000000000000e+01,1.729234162068079002e+02,-1.229234162068079002e+02,0.000000000000000000e+00,7.500000000000000000e+01,3.463000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
