t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.450423267865266155e+02,-1.950423267865266155e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.751000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.450423267865266155e+02,-1.950423267865266155e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.443177278031606647e+02,-1.943177278031606647e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.757999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.447439624992583163e+02,-1.947439624992583163e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.760999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.446160920904290208e+02,-1.946160920904290208e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,2.443177278031606647e+02,-1.943177278031606647e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.443177278031606647e+02,-1.943177278031606647e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,2.443177278031606647e+02,-1.943177278031606647e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.789999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,2.433800114717458882e+02,-1.933800114717458882e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,2.429537767756482651e+02,-1.929537767756482651e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.803000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,2.428259063668189697e+02,-1.928259063668189697e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.832000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,2.415898257481358371e+02,-1.915898257481358371e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.832000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,2.415898257481358371e+02,-1.915898257481358371e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.860999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,2.403537451294527330e+02,-1.903537451294527330e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.864000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,2.402258747206234375e+02,-1.902258747206234375e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.889999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,2.391176645107696004e+02,-1.891176645107696004e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,2.388619236931110095e+02,-1.888619236931110095e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.921999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,2.377537134832572008e+02,-1.877537134832572008e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.928999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,2.374553491959888447e+02,-1.874553491959888447e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.953999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,2.363897624557447728e+02,-1.863897624557447728e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.964000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,2.359635277596471497e+02,-1.859635277596471497e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.992999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
